id,backfilled,base_score,computed_at,game_id,importance_multiplier,inning,inning_type,play_order,pregame_bonus,signal_contributions,source,tags,watch_score
34,f,15,2026-07-12 20:43:11.804293+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 15.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",15
35,f,15,2026-07-12 20:44:13.150739+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 15.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",15
36,f,15,2026-07-12 20:45:35.100544+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 15.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",15
37,f,15,2026-07-12 20:47:09.750814+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 15.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",15
38,f,15,2026-07-12 20:48:09.762009+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 15.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",15
39,f,15,2026-07-12 20:50:34.900448+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 15.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",15
40,f,15,2026-07-12 20:51:10.365028+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 15.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",15
41,f,15,2026-07-12 20:52:09.784507+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 15.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",15
42,f,15,2026-07-12 20:53:10.21605+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 15.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",15
43,f,15,2026-07-12 20:54:09.469894+00,5059222,,9,End,242977913,,"{""pressure"": 0.0, ""score_gap"": 15.0, ""big_inning"": 0.0, ""lead_change"": 0.0, ""recent_score"": 0.0, ""late_or_extra"": 0.0, ""count_pressure"": 0.0, ""early_slugfest"": 0.0}",OPERATIONAL,"{""접전 흐름""}",15
